Department,JobRole,JobLevel,Gender,EducationField,EnvironmentSatisfaction,MaritalStatus,WorkLifeBalance,OverTime,AvgMonthlyIncome,AvgAge,TotalEmployees,Attritions,AttritionRate
Sales,"Sales Executive",2,Female,"Life Sciences",2,Single,1,Yes,5993.00,41.0,1,1,100.00
"Research & Development","Research Scientist",2,Male,"Life Sciences",3,Married,3,No,5130.00,49.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,4,Single,3,Yes,2090.00,37.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Married,3,Yes,2909.00,33.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,1,Married,3,No,3660.00,27.8,5,1,20.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Single,2,No,3068.00,32.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,3,Married,2,Yes,2670.00,59.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Divorced,3,No,2503.50,31.0,2,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",4,Single,3,No,8712.00,43.0,2,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,3,Married,2,No,5237.00,36.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",4,Single,3,Yes,4193.00,29.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Divorced,2,No,2762.00,30.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,2,Divorced,3,No,2661.00,34.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Single,3,Yes,2028.00,28.0,1,1,100.00
"Research & Development","Manufacturing Director",3,Female,"Life Sciences",2,Divorced,3,No,9980.00,29.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Divorced,2,Yes,3298.00,32.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Divorced,2,Yes,2935.00,22.0,1,0,0.00
Sales,Manager,4,Female,"Life Sciences",1,Married,3,No,15427.00,53.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Single,3,Yes,3208.00,30.0,2,1,50.00
"Research & Development","Manufacturing Director",2,Female,Other,1,Divorced,2,No,4011.00,24.0,1,0,0.00
Sales,"Sales Representative",1,Male,"Life Sciences",3,Single,3,No,3024.50,32.5,2,1,50.00
"Research & Development","Research Director",3,Female,"Life Sciences",1,Single,3,No,11994.00,34.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Single,3,No,2394.20,28.2,5,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,2,Single,3,No,2909.50,34.5,2,1,50.00
"Research & Development",Manager,5,Female,Other,3,Divorced,2,No,19094.00,53.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",2,Single,3,Yes,3456.50,25.5,2,1,50.00
Sales,"Sales Executive",2,Male,Marketing,3,Married,3,No,5552.50,32.8,4,0,0.00
"Research & Development","Healthcare Representative",3,Female,Medical,1,Married,3,No,9113.00,44.0,2,1,50.00
Sales,Manager,5,Female,Marketing,2,Single,2,No,18947.00,46.0,1,0,0.00
